game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
HOU199508080,4,"K, 2B, FC;NO, 1B",OAK198607300,"K, 2B, FC;NO, K"
KCA199508080,3,"31, 31, 53",BAL199304050,"31, 31, 2B"
LAN199508080,6,"1B, SB2, BB, 8, 2B, 13",SEA198805080,"1B, SB2, BB, 8, 2B, 8"
MIL199508080,4,"9, BB, 7, 8",DET199305260,"9, BB, 7, 9"
MIN199508080,5,"63, 63, 9, 1B, K",LAN197006260,"63, 63, 9, 1B, 1B"
NYA199508080,5,"43, K, 8, 63, 1B",CHN198308150,"43, K, 8, 63, K"
PHI199508080,4,"1B, 13, HR, 4",ATL199307050,"1B, 13, HR, K"
SEA199508080,5,"HR, 7, K, BB, BB",NYN198105090,"HR, 7, K, BB, K"
SFN199508080,4,"2, K, 8, K",CLE199208220,"2, K, 8, 1B"
TEX199508080,5,"43, 1B, 64(1), 1B, 3",CHA193709022,"43, 1B, 64(1), 1B, BB"
ATL199508090,6,"1B, SB2, SB3, BB, SB2, K",SDN198205020,"1B, SB2, SB3, BB, SB2, 63"
BOS199508090,4,"BB, 9, OA, 7",NYA191509160,"BB, 9, OA, 1B"
FLO199508090,5,"63, 1B, 54(1)3, K, HR",CIN196007190,"63, 1B, 54(1)3, K, 1B"
HOU199508090,4,"9, 8, 4, 63",LAN199309240,"9, 8, 4, 7"
KCA199508090,4,"E3, K, 8, K",CIN195007231,"E3, K, 8, 3B"
LAN199508090,5,"K, 31, K, 2B, 3",PIT198608240,"K, 31, K, 2B, K"
MIL199508090,5,"3, 1B, 5, 1B, 43",WS1192506170,"3, 1B, 5, 1B, 1B"
MIN199508090,5,"3, BB, BB, K, 43",SLA192009140,"3, BB, BB, K, BB"
NYA199508090,4,"6, 6, 43, HR",MON198508100,"6, 6, 43, 1"
PHI199508090,7,"43, 1B, 8, 64(1), 63, 13, 1B",BAL198909130,"43, 1B, 8, 64(1), 63, 13, K"
SEA199508090,4,"3, 53, 4, 7",SFN196409090,"3, 53, 4, 13"
SFN199508090,6,"1B, K, SB2, 8, 9, BB",NYA199205160,"1B, K, SB2, 8, 9, K"
TEX199508090,5,"1B, CS2, 8, 8, 1B",PHA191407060,"1B, CS2, 8, 8, 53"
ATL199508100,4,"BB, E5, BB, BB",BAL197205060,"BB, E5, BB, 1B"
BOS199508100,5,"BB, 13, 43, 53, 7",WS2196508290,"BB, 13, 43, 53, 2B"
CHN199508101,5,"2B, 53, 43, 8, 2B",CLE192804300,"2B, 53, 43, 8, 43"
CHN199508102,5,"9, K, 2B, BB, 64(1)",KCA199507280,"9, K, 2B, BB, 43"
FLO199508100,4,"3, 8, 2B, BK",SDN198905050,"3, 8, 2B, 41"
HOU199508100,3,"K, 31, HBP",LAN199508090,"K, 31, K"
KCA199508100,5,"9, 8, 9, K, 1B",SLN198305120,"9, 8, 9, K, 3"
LAN199508100,5,"7, BB, CS2, K, 43",CAL196906290,"7, BB, CS2, K, E7"
MIL199508100,3,"1B, 2, 16(1)3",MON199506210,"1B, 2, 9"
NYA199508101,5,"43, 4, 7, 63, 1B",SLA192709010,"43, 4, 7, 63, HR"
NYA199508102,4,"43, E6, SB2, BB",CHN196306190,"43, E6, SB2, K"
PHI199508100,4,"HBP, SB2, 9, K",DET198709300,"HBP, SB2, 9, 31"
SFN199508100,5,"1B, 8, BB, CS3, 1B",CHN196909170,"1B, 8, BB, CS3, K"
TEX199508100,6,"K, BB, 8, 8, 1B, K",CIN196407020,"K, BB, 8, 8, 1B, 46(1)"
ATL199508110,5,"9, 1B, K, 63, 63",LAN196805310,"9, 1B, K, 63, 1B"
BOS199508110,5,"43, BB, 5, SB2, 1B",SFN196406280,"43, BB, 5, SB2, K"
